ID,PHYSICAL_TABLE_NAME,NAME,ESPACE_ID,SS_KEY,MULTITENANT,MULTITENANT_VIEW,IS_ACTIVE,IS_SYSTEM,IS_EXTERNAL,PRIMARYKEY_SS_KEY,DESCRIPTION,Extension_Id,GENERATION,Is_Active_Attribute,Label_Attribute,Order_By_Attribute,Data_Kind,Multilingual,Multilingual_Table_Name,Expose_Process_Events,Event_Table_Name,Base_View_Name,LOGICALDATABASE
11,OSSYS_ASYNC_OP_DBCATALOG,Async_Operation_DBCatalog,1,11897ab4-373c-4910-97eb-29022a9e2477,0,0,1,1,0,98a9e891-d1a1-4434-99c9-7ef913e4da29,Internal use only.,NULL,0,,,,entity,0,,0,OSEVT_ASYNC_OP_DBCATALOG,,
12,OSSYS_ESPACE_SCREEN,Espace_Screen,1,11c1f098-0edf-49bb-8424-642c8a9afd87,0,0,1,1,0,7b9cd526-e3ea-47f2-8322-a18e4c4190e7,Internal use only.,NULL,0,,a9abdf55-4f15-4b60-a6f6-d94455247de3,,entity,0,,0,OSEVT_ESPACE_SCREEN,,
13,OSSYS_ASSEMBLY,Assembly,1,14df8176-c2ca-1329-5264-345e0b1b81f4,0,0,1,1,0,84333635-da5f-bd6d-a50a-b63aedf7a30d,Contains information about a component in a personal area. Internal use only.,NULL,0,,,,entity,0,,0,OSEVT_ASSEMBLY,,
14,OSSYS_REPORT_HOUR,Report_Hour,1,1693b3f6-cb2b-8b62-e9d7-ebe9bda84783,0,0,1,1,0,,Support table for the Service Center analytics Hourly usage reports.,NULL,0,,,,entity,0,,0,OSEVT_REPORT_HOUR,,
15,OSSYS_ZONE,Zone,1,188b297f-1907-3de8-d090-568b7648bce4,0,0,0,1,0,d2bd1ff6-cfe7-1808-b573-908078b28042,NZones as defined in Service Center,NULL,0,,881e3ccf-0d71-4d9b-4624-12d1149e7b52,,entity,0,,0,OSEVT_ZONE,,
16,OSSYS_PAGEMETARULE,PageMetaRule,1,18fe247f-129c-4dfc-8454-58932b09c04a,0,0,1,1,0,dda5803c-16c8-4066-991c-f3e2f575f300,Internal use only.,NULL,0,,,,entity,0,,0,OSEVT_PAGEMETARULE,,
17,OSSYS_SOLUTION,Solution,1,1b5d5e92-1385-fa75-c9cf-69d46f4e0147,0,0,1,1,0,94d61d55-5436-cef7-255c-9ca8dbe7a014,Service Center Solution (a set of eSpaces and extensions),NULL,0,,744abbcc-30e1-9a9e-75df-4a878d7c5b96,,entity,0,,0,OSEVT_SOLUTION,,
18,OSSYS_BASIC_TYPE,Basic_Type,1,1cb68bbc-4023-33f2-d886-3e3d03e7f91f,0,0,1,1,0,225e7618-705d-ea4f-37e4-018f9eca058a,Service Studio basic types.,NULL,0,,a470cf82-3927-3787-3378-cad581f097d3,a470cf82-3927-3787-3378-cad581f097d3,staticEntity,0,,0,OSEVT_BASIC_TYPE,,
19,OSSYS_PATHHEADER,PathHeader,1,1ddc226c-7e00-4d0e-a012-0fc91788c3e9,0,0,1,1,0,f55d56c1-aa3a-45b9-a428-0e87f317b2ae,Internal use only.,NULL,0,,,,entity,0,,0,OSEVT_PATHHEADER,,
20,OSSYS_AREA_ENTRY_POINT,Area_Entry_Point,1,20b577f8-4602-8565-9517-cb76b8c7bcc7,0,0,1,1,0,88a48000-6fe8-b47d-7196-68996461d1fb,An entry point in an personal area. Internal use only.,NULL,0,,,,entity,0,,0,OSEVT_AREA_ENTRY_POINT,,
21,OSSYS_BPM_PROCESS_OUTPUT_DEF,Process_Output_Definition,1,211668b8-5b33-4ba2-ab15-fb86f73c5b4b,0,0,1,1,0,389ba2f2-e4c9-4246-9d78-b1f662ef2c35,Process output as defined in Service Studio. Old outputs are kept as inactive.,NULL,0,e00ce367-91fc-4ec2-9b29-b494e7417905,8016ee7c-04cf-4ec6-97a6-139b1eb1eb52,,entity,0,,0,OSEVT_BPM_PROCESS_OUTPUT_DEF,,
22,OSSYS_ESPACE_SHAREDCONFIG,Espace_SharedConfiguration,1,21de6d36-d8fe-4a0a-11fb-107569bc4e1b,0,0,1,1,0,2457bded-189c-a8b0-3244-6b5f34703cc4,Internal use only.,NULL,0,,,,entity,0,,0,OSEVT_ESPACE_SHAREDCONFIG,,
23,OSSYS_BPM_PROCESS,Process,1,245a4dae-efd0-4272-93f7-51f180268eeb,1,1,1,1,0,ad09be18-97e3-4f66-97ce-2da7181385ec,Process instances.,NULL,0,,aa980e73-62d6-fbf2-2836-3ede2b1c5eaf,,entity,0,,0,OSEVT_BPM_PROCESS,OSSYS_BPM_PROCESS,
24,OSSYS_BPM_PROCESS_INPUT_DEF,Process_Input_Definition,1,2552fdc5-213f-4443-8a1a-ce2b932e3ddf,0,0,1,1,0,f84aea7c-5dd4-4696-b2a9-d9e2da0a6ff6,Process input as defined in Service Studio. Old inputs are kept as inactive.,NULL,0,e0a0bb87-854c-4276-ba73-48bb54036e3f,5c37a921-6961-41a0-acbd-0facbd3e5825,,entity,0,,0,OSEVT_BPM_PROCESS_INPUT_DEF,,
25,OSSYS_TEST_CASE,TestCase,1,25f19664-1362-4531-b018-7ef3f984249a,0,0,1,1,0,4117a109-aead-4415-8309-109d63a358d2,Internal use only.,NULL,0,d1982a62-b6bb-41e6-b15a-10a64aa81ed3,d9d85a2e-21eb-4376-a6b5-3fc6b230c33b,,entity,0,,1,OSEVT_TEST_CASE,,
26,OSSYS_SERVER,Server,1,26c10d19-34c4-92d4-f269-df9a0e972f41,0,0,1,1,0,5b6c10a6-7175-d72b-f1f4-de9b3a943667,Environment specific server nodes.,NULL,0,,,,entity,0,,0,OSEVT_SERVER,,
27,OSSYS_REPORT_SLOWSCREE,Report_Slow_Screen,1,26f105ad-74c7-bff1-3c02-d7e4c23a087c,0,0,1,1,0,,Service Center analytics report details,NULL,0,,,,entity,0,,0,OSEVT_REPORT_SLOWSCREE,,
28,OSLOG_WEB_SERVICE,Log_Web_Service,1,29927865-3446-eeec-8755-f502ed01b8f0,1,1,0,1,0,,NWeb service usage logs.,NULL,0,,,,entity,0,,0,OSEVT_OSLOG_WEB_SERVICE,OSLOG_WEB_SERVICE,
29,OSSYS_CALLBACK,Callback,1,2a6a3043-3774-ca3a-036c-85dc5ab488bb,0,0,1,1,0,487b1ed9-f783-f6aa-e5e9-629bf515815a,Registered foreign blocks that are inserted in predefined places.,NULL,0,,,,entity,0,,0,OSEVT_CALLBACK,,
30,OSSYS_Developer_Operation,Developer_Operation,1,30657b46-bd40-4505-b6ca-e6ee5aace105,0,0,1,1,0,dfa01f4c-66d3-4019-a557-68da466b1bbc,For statistical use only,NULL,0,,,,entity,0,,0,OSEVT_Developer_Operation,,
31,OSSYS_PATHRULE,PathRule,1,30c22e48-82a3-4f2c-9787-f7dfac4cd549,0,0,1,1,0,98d74b5d-bb65-45ef-86c6-e8e77f5ec2bc,Internal use only.,NULL,0,,,,entity,0,,0,OSEVT_PATHRULE,,
32,OSSYS_SOLUTION_PUBLISHING,Solution_Publishing,1,30f18e1b-475b-4aa0-96fd-b7c040509942,0,0,1,1,0,087cfce7-ffec-48fb-b472-609151c60cc4,Internal use only.,NULL,0,,,,entity,0,,0,OSEVT_SOLUTION_PUBLISHING,,
33,OSSYS_BPM_PROCESS_STATUS,Process_Status,1,315545a5-629a-986c-2082-c4074451815c,0,0,1,1,0,cd2da83a-5bad-e470-a802-7457c9698560,Possible process instance status.,NULL,0,,3e55de6a-3ceb-3ce7-af5b-05be27daeb71,,staticEntity,1,OSSYS__MLProcess_Status,0,OSEVT_BPM_PROCESS_STATUS,,
34,OSSYS_ESPACE_VERSION,Espace_Version,1,3221eb98-65be-fb86-e8bc-2bc1918ac091,0,0,1,1,0,fa4c8248-98d3-acb7-3fc8-7ac4f070d18e,Espace specific versions published in the environment. Includes the eSpace binary content.,NULL,0,,,,entity,0,,0,OSEVT_ESPACE_VERSION,,
35,OSSYS_BPM_ACTIVITY_DEFINITION,Activity_Definition,1,3281c7ef-b335-ae23-327f-e22de6d18b53,0,0,1,1,0,f7bea092-edf7-4a27-4231-5da58fa71ff7,Process activity definition as specified in service studio. Matches the current published model only. Older activity definitions are ketp as inactive.,NULL,0,08aed9d3-d010-57a4-c495-caa6b3894693,cc3062a6-1d2d-6ae2-1302-67e760933e2e,b022f5e9-1252-f92a-b80d-96b2b7f93819,entity,0,,0,OSEVT_BPM_ACTIVITY_DEFINITION,,
36,OSSYS_BPM_PROCESS_DEFINITION,Process_Definition,1,334ffbf7-fe6a-d509-6a22-5f250ad47bf7,0,0,1,1,0,1ba24eca-49d3-243a-122d-62583b27991e,Processes as defined in Service Studio. Old processes are kept as inactive.,NULL,0,2fe551b3-4f8b-016f-b0e2-c0b81f8b3a69,a5f85f7e-a980-7465-d6f1-79bf30c76aff,,entity,0,,0,OSEVT_BPM_PROCESS_DEFINITION,,
37,OSSYS_SMS_ENTRY,Sms_Entry,1,336ba703-55c1-3734-249d-2eec587cb410,0,0,0,1,0,27fbe334-0041-ad1b-a1d9-8534c2465f37,NInternal use only.,NULL,0,,,,entity,0,,0,OSEVT_SMS_ENTRY,,
38,OSSYS_VISIT,Visit,1,337b5cb5-7e5d-412b-972e-69049c4a1b65,0,0,1,1,0,,Internal use only.,NULL,0,,,,entity,0,,0,OSEVT_VISIT,,
39,OSSYS_ServiceCenter_User,ServiceCenter_User,1,34ed9292-aed8-451a-845d-8fbc909a57c2,0,0,1,1,0,0edb5436-b420-487b-a5b7-2fec8f5c76e0,Service Center user details.,NULL,0,,,,entity,0,,0,OSEVT_ServiceCenter_User,,
40,OSSYS_REPORT_SLOWQUERY,Report_Slow_Query,1,35a02dac-f0d2-25d2-e0a5-9deb9701d76f,0,0,1,1,0,,Service Center analytics report details,NULL,0,,,,entity,0,,0,OSEVT_REPORT_SLOWQUERY,,
41,OSSYS_BPM_PROCESS_UPGRADE,Process_Upgrade,1,363be681-f1e9-7ec0-73a6-7252f1acf063,0,0,1,1,0,7d7e940b-8e78-13cb-b72d-3a380930bf7e,Internal use only. Supports process instance upgrade impact analysis.,NULL,0,,,,entity,0,,0,OSEVT_BPM_PROCESS_UPGRADE,,
42,OSSYS_SOLUTION_VERSION_REF,Solution_Version_Reference,1,36f4aa52-9421-b1e3-a7e7-633e5ff9e780,0,0,1,1,0,6d057f70-a6a5-e961-b927-8a103efe2ba2,Modules (and their versions) for a specific solution version.,NULL,0,,,,entity,0,,0,OSEVT_SOLUTION_VERSION_REF,,
43,OSSYS_EXTENSION_VERSION,Extension_Version,1,390905de-265c-85bf-5c37-d72d6bd96790,0,0,1,1,0,2959106e-e57d-d801-89a9-713bc964ff65,Extension version binary content.,NULL,0,,,,entity,0,,0,OSEVT_EXTENSION_VERSION,,
44,OSLOG_GENERAL,Log_General,1,3b6d2e0f-789e-ac7f-ff9b-f4087b2215ef,1,1,0,1,0,,NLogs generated by audits and slow sql.,NULL,0,,,,entity,0,,0,OSEVT_OSLOG_GENERAL,OSLOG_GENERAL,
45,OSSYS_META_CYCLIC_JOB,Meta_Cyclic_Job,1,3c9876f2-4dab-47f6-7da0-1e6131d37e83,0,0,1,1,0,3614e5fd-45d1-c424-2f41-f4e706310dfe,Espace specific timers as defined in Service Studio. Old timers are kept as inactive.,NULL,0,52961970-df99-9259-f53f-ccb4265a9dde,640e4cc9-e10e-8083-af55-1af8f680ec47,,entity,0,,0,OSEVT_META_CYCLIC_JOB,,
46,OSSYS_TranslationOverride,TranslationOverride,1,3dd25114-1d87-4a2a-b62a-192704acb191,0,0,1,1,0,dbcd4cda-f8c3-48c9-8d58-731125f983a3,Translations to override the eSpace defined translations,NULL,0,,,,entity,0,,0,OSEVT_TranslationOverride,,
47,OSSYS_DBCATALOG,DBCatalog,1,409bf0d8-0a36-45cc-8bd1-64fbc8c6fd6e,0,0,1,1,0,241d4c5a-f1d0-4c7f-9c2d-85cc1219368d,Database catalogs as defined in Service Center,NULL,0,,f1b8da05-007e-4678-b4ee-1210a1e06636,f1b8da05-007e-4678-b4ee-1210a1e06636,entity,0,,0,OSEVT_DBCATALOG,,
48,OSSYS_REPORT_ESPACEUSA,Report_Espace_Usage,1,417efdef-b61c-1452-56f6-fae147d5e382,0,0,1,1,0,,Service Center analytics usage reports.,NULL,0,,,,entity,0,,0,OSEVT_REPORT_ESPACEUSA,,
49,OSSYS_BPM_ACTIVITY_STATUS,Activity_Status,1,438329de-5552-ca64-09a4-64376002d08e,0,0,1,1,0,4f17b4c8-20c2-f532-8a5d-3759c6eede6c,Possible status for each process activity instance.,NULL,0,,25b84600-6fa1-60ed-1ab0-fa06a8591e53,,staticEntity,1,OSSYS__MLActivity_Status,0,OSEVT_BPM_ACTIVITY_STATUS,,
50,OSSYS_APPLICATION,Application,1,441de82e-9b6d-4e31-88a8-4c9ac2e20e2d,0,0,1,1,0,a2034b1f-25d6-41ef-867c-ec7c95133fba,Applications in this environment. Old applications are kept as inactive,NULL,0,b50be159-2c42-4d65-b843-4e799e9ec17f,e621643c-65d1-4400-bfe2-4962d753e1bc,e621643c-65d1-4400-bfe2-4962d753e1bc,entity,0,,0,OSEVT_APPLICATION,,
51,OSSYS_CYCLIC_JOB,Cyclic_Job,1,448c45ee-124a-fc4f-45fa-9f3b8d90fb05,1,1,1,1,0,a6956eaf-4f73-152a-0134-5aef40789fc2,Multi-tenant timer instances,NULL,0,,,,entity,0,,0,OSEVT_CYCLIC_JOB,OSSYS_CYCLIC_JOB,
52,OSSYS_ExtensionCommitMessage,ExtensionCommitMessage,1,4bde7709-0db6-4513-9cda-eb755cb3af40,0,0,1,1,0,3361cf8e-f7c6-4000-a01b-267d5c0113b0,Internal use only.,NULL,0,,,,entity,0,,0,OSEVT_ExtensionCommitMessage,,
53,OSSYS_RECOMPILATION_ERROR_LOG,Recompilation_Errors_Log,1,4bee8671-671d-f5a6-bdff-2a904ae4704c,0,0,1,1,0,a28f6fb9-e451-4bd2-4495-09ebd2219c03,Internal use only.,NULL,0,,,,entity,0,,0,OSEVT_RECOMPILATION_ERROR_LOG,,
54,OSSYS_USER,UserMT,1,4e0d34ab-2d06-4871-a909-e518f59c2db8,1,1,1,1,0,4aab5fcc-ba54-435a-812f-2774a3cff7db,View for Users across all tenants.,NULL,0,,,,entity,0,,0,OSEVT_USER,OSSYS_USER,
55,OSSYS_BPM_ACTIVITY_OUTPUT_DEF,Activity_Output_Definition,1,4f3e548e-529a-47f7-9ee8-3f8668f028e6,0,0,1,1,0,78248791-40b7-4276-8f27-6a72d70e42aa,Process activity output parameter as defined in Service Studio. Older output definitions are inactive.,NULL,0,0eb9bb12-2c5c-492f-88f8-aea5f9dabb68,2e333f50-88ab-449c-aaa4-56cd9ce3e754,2e333f50-88ab-449c-aaa4-56cd9ce3e754,entity,0,,0,OSEVT_BPM_ACTIVITY_OUTPUT_DEF,,
56,OSSYS_EXTENSION,Extension,1,55c4f131-922d-f0a6-4140-c71e3791429c,0,0,1,1,0,fe8d174c-274d-9854-581f-0f694544f852,Extensions published in the environment.,NULL,0,,,,entity,0,,0,OSEVT_EXTENSION,,
57,OSSYS_USER_ROLE,User_Role,1,575ba673-d418-fb08-6109-971acb3e3baa,1,0,1,1,0,a793911b-49c1-5751-b6be-56948de77e29,Roles for each end user.,NULL,0,,,,entity,0,,0,OSEVT_USER_ROLE,OSSYS_USER_ROLE,
58,OSSYS_FeatureList,FeatureList,1,582f1ff0-706d-45b3-8192-df13d6c787a4,0,0,1,1,0,642edd22-fe30-464e-b2b8-722bf1f29ebb,Internal use only.,NULL,0,,a891ed71-17c2-42d6-88af-744ccd33f096,6ddf2bf8-523c-45eb-bb06-c624bde6e68a,staticEntity,0,,0,OSEVT_FeatureList,,
59,OSSYS_DBMS,DBMS,1,619b821c-dd03-c27c-b614-5ebb51367780,0,0,1,1,0,42c51010-6c13-7ec5-c2cf-3448a62867c9,Supported Databases Management Systems (Oracle / SqlServer),NULL,0,,f6024efb-1eee-cfbb-19fb-7a7b3d949cbe,,entity,0,,0,OSEVT_DBMS,,
60,OSLOG_WEB_REFERENCE,Log_Web_Reference,1,63e6ff4f-8e00-35e7-1bf0-3b7d0f89ab09,1,1,0,1,0,,NWeb reference usage logs.,NULL,0,,,,entity,0,,0,OSEVT_OSLOG_WEB_REFERENCE,OSLOG_WEB_REF,
61,OSSYS_EMAIL_DEFINITION,Email_Definition,1,64c90d42-c765-4c47-a7d0-a9e819dc03c5,0,0,1,1,0,4dc31a88-e1aa-41b4-bbc4-afafd9c5dc9a,Email definition as specified in service studio. Matches the current published model only. Older email definitions are ketp as inactive.,NULL,0,d9a9d458-fe17-4505-afac-173922c9bc56,55b61993-b200-4dd4-9c31-bb5e0fc731f7,55b61993-b200-4dd4-9c31-bb5e0fc731f7,entity,0,,0,OSEVT_EMAIL_DEFINITION,,
62,OSSYS_REPORT_TYPE,Report_Type,1,6593882c-0720-8b3e-faea-62bceec97c97,0,0,1,1,0,8f45dbe8-a276-cb5e-dd40-acfc392bb868,Possible Service Center analytics report types,NULL,0,,,,entity,0,,0,OSEVT_REPORT_TYPE,,
63,OSSYS_COMMITMESSAGE,EspaceCommitMessage,1,660f7c8b-5da6-4148-9c6f-b885dc4513f6,0,0,1,1,0,c8d75551-b9c4-4994-abbb-524a87f1e6ca,Internal use only.,NULL,0,,,,entity,0,,0,OSEVT_COMMITMESSAGE,,
64,OSSYS_DEVELOPER_EXTENSION,Developer_Extension,1,66a04978-c7e6-6c0e-71c4-69850b66be1b,0,0,1,1,0,5213a2a6-95aa-3abf-6984-887ee56f2741,Service Center users and roles permissions  for each extension.,NULL,0,,,,entity,0,,0,OSEVT_DEVELOPER_EXTENSION,,
65,OSSYS_ASYNC_OPERATION_SODETAIL,Async_Operation_SolutionDetails,1,67e72293-94d5-446d-91db-f381de7c08cc,0,0,1,1,0,d99d8ff9-924e-44a1-be4c-de0408ecefb0,Internal use only,NULL,0,,,,entity,0,,0,OSEVT_ASYNC_OPERATION_SODETAIL,,
66,OSSYS_ASYNC_OP_STATE,Async_Operation_State,1,69244aee-f990-65ed-aa3a-36b4a79791f0,0,0,1,1,0,d9a8b8bb-7dda-5b1e-6063-551ee59d8a68,Internal use only,NULL,0,,,,entity,0,,0,OSEVT_ASYNC_OP_STATE,,
67,OSSYS_DEVELOPER_SOLUTION,Developer_Solution,1,69a97c32-08ca-0467-9001-51ef42be6d94,0,0,1,1,0,2128e576-8097-7909-b8db-a67b3c81bdcf,Service Center users and roles permissions  for each solution.,NULL,0,,,,entity,0,,0,OSEVT_DEVELOPER_SOLUTION,,
68,OSSYS_REPORT_METRICS,Report_Metrics,1,6c357361-431b-436c-a22a-ccc7ba8c94e8,0,0,1,1,0,787bc624-8630-4759-979d-6ba3a1bc67bc,Internal use only.,NULL,0,,,,entity,0,,0,OSEVT_REPORT_METRICS,,
69,OSSYS_DEVELOPER_ESPACE,Developer_Espace,1,6c93e36b-29c8-5900-c9c8-d8e2985092f4,0,0,1,1,0,e8e13a82-a964-6b4b-083b-48ffd6635718,Service Center users and roles permissions  for each eSpace.,NULL,0,,,,entity,0,,0,OSEVT_DEVELOPER_ESPACE,,
70,OSSYS_ACTIVATION,Activation,1,6d4aae90-a232-7188-df3e-cbb4dbd3c956,0,0,1,1,0,2fe4d459-2849-540f-1fdf-dbb57fd3b4be,Internal Meta-Model Entity for OutSystems use only.,NULL,0,,,,entity,0,,0,OSEVT_ACTIVATION,,
71,OSSYS_RECENT_ITEM,Recent_Item,1,6d5b293d-a78b-a71f-8f94-1a02b78ccac9,0,0,1,1,0,ec009c7a-3217-ffe3-c489-20ecb0fba7e5,Internal use only.,NULL,0,,,,entity,0,,0,OSEVT_RECENT_ITEM,,
72,OSSYS_BPM_PROCESS_INPUT,Process_Input,1,6d9a582f-603a-486a-9df7-d4064fc1149a,1,1,1,1,0,1ab5e833-78bc-40d5-9410-746886c62ba8,Process instances input effective value.,NULL,0,,,,entity,0,,0,OSEVT_BPM_PROCESS_INPUT,OSSYS_PROC_IN,
73,OSSYS_SessionToken,SessionToken,1,6e441fea-9060-400d-bf70-40b9e1ed721c,0,0,1,1,0,736d32fc-08b9-4597-be49-a5033259835e,Internal use only.,NULL,0,,,,entity,0,,0,OSEVT_SessionToken,,
74,OSSYS_APPLICATION_ICON,Application_Icon,1,7216dc97-5250-44f4-8981-8399b7f0726a,0,0,1,1,0,00f8187f-713b-465d-9fca-36cb85119a2f,Application icon binary,NULL,0,,,,entity,0,,0,OSEVT_APPLICATION_ICON,,
75,OSSYS_MSISDN_TENANT,Msisdn_Tenant,1,72e2102d-89d6-474a-9267-cc137d9e9ffb,1,1,0,1,0,36fc7670-6d49-bf38-b8a2-2ca0424474f7,NInternal use only.,NULL,0,,,,entity,0,,0,OSEVT_MSISDN_TENANT,OSSYS_MSISDN,
76,OSSYS_ESPACE_EXTENSION,Espace_Extension,1,73386c86-9541-5497-f602-62d68cfe110d,0,0,1,1,0,cac0782f-9be7-5fc6-2cb8-3dd469fe8f44,Extensions referred by each eSpace as defined in Service Studio add/remove references.,NULL,0,,,,entity,0,,0,OSEVT_ESPACE_EXTENSION,,
77,OSSYS_ZONE_SERVER,Zone_Server,1,74a89d85-8b28-2b50-f760-ec8120eeec65,0,0,0,1,0,f869c5f4-b5f4-1552-e0df-603cae3ffcd7,NServers for each Zone as defined in Service Center.,NULL,0,,,,entity,0,,0,OSEVT_ZONE_SERVER,,
78,OSSYS_ENTITY_USAGE_SAMPLE,Entity_Usage_Sample,1,76d61ecd-a6c8-4297-adde-07c1663bdb5e,0,0,0,1,0,9b3fdc07-f8a4-40a8-a416-c96f8d9df6ca,NInternal use only.,NULL,0,,,,entity,0,,0,OSEVT_ENTITY_USAGE_SAMPLE,,
79,OSSYS_ESPACE_HASHSET,Espace_Hashset,1,78762f0d-6872-9e95-838c-085d2cf6806d,0,0,1,1,0,f97dabea-30ce-2739-dade-9cfcf45f0b6f,Internal use only.,NULL,0,,,,entity,0,,0,OSEVT_ESPACE_HASHSET,,
80,OSSYS_USER_DEVELOPER,User_Developer,1,7a4a2c24-2476-986e-a0fc-cf00d8db5a95,0,0,1,1,0,bee3cd5b-47a3-79b1-1b5b-4ae7f20e5b76,Roles for each Service Center user.,NULL,0,,,,entity,0,,0,OSEVT_USER_DEVELOPER,,
81,OSSYS_Developer_DBCatalog,Developer_DBCatalog,1,7a8b68fa-dc91-4d6c-a595-961ec0e0b7e8,0,0,1,1,0,5911451f-b5d0-436a-aeaa-479d22f71d67,Service Center users and roles permissions  for each database catalog,NULL,0,,,,entity,0,,0,OSEVT_Developer_DBCatalog,,
82,OSSYS_SERVICECENTER_ROLE,ServiceCenter_Role,1,7d5a7339-4055-56c1-3cb3-69b6a85f4a90,0,0,1,1,0,ee6dd108-2366-39f6-3472-915147c6c11d,Service Center roles as defined in the administration tab.,NULL,0,,,,entity,0,,0,OSEVT_SERVICECENTER_ROLE,,
83,OSSYS_PHYSICAL_NUMBER,Physical_Number,1,7f48c7bc-bdeb-dd29-07f9-6b3523e8cbdb,0,0,0,1,0,2d7b71e4-b323-9d36-f57e-e9552140dcd1,NSMS large account numbers.,NULL,0,8987d366-fd13-a3b4-9a86-717bcafdf1d4,647b0967-ae9d-ff41-5be4-b4daee6ff5a2,,entity,0,,0,OSEVT_PHYSICAL_NUMBER,,
84,OSSYS_PAGERULE,PageRule,1,801d4c25-bf22-40d3-a48e-ae686d772dbf,0,0,1,1,0,58165401-fe98-431f-914a-bf5b895ceb99,Internal use only.,NULL,0,,,,entity,0,,0,OSEVT_PAGERULE,,
85,OSSYS_Log_LicenseUserUsage,Log_LicenseUserUsage,1,80775b82-846a-45c7-b15a-115983560fa7,0,0,1,1,0,5293b4ef-0fe5-4ec0-9b27-4f9a0226b986,Internal use only.,NULL,0,,,,entity,0,,0,OSEVT_Log_LicenseUserUsage,,
86,OSLOG_SMS,Log_Sms,1,80cebfb0-a86e-a4d7-c449-64354a6b42aa,1,1,0,1,0,,NMobile originated and mobile terminated sms logs.,NULL,0,,,,entity,0,,0,OSEVT_OSLOG_SMS,OSLOG_SMS,
